code_commune,commune,departement
0101,Banikoara,Alibori
0102,Gogounou,Alibori
0103,Kandi,Alibori
0104,Karimama,Alibori
0105,Malanville,Alibori
0106,Ségbana,Alibori
0201,Boukoumbé,Atacora
0202,Cobly,Atacora
0203,Kérou,Atacora
0204,Kouandé,Atacora
0205,Matéri,Atacora
0206,Natitingou,Atacora
0207,Péhunco,Atacora
0208,Tanguiéta,Atacora
0209,Toucountouna,Atacora
0301,Abomey-Calavi,Atlantique
0302,Allada,Atlantique
0303,Kpomassè,Atlantique
0304,Ouidah,Atlantique
0305,Sô-Ava,Atlantique
0306,Toffo,Atlantique
0307,Tori-Bossito,Atlantique
0308,Zè,Atlantique
0401,Bembèrèkè,Borgou
0402,Kalalé,Borgou
0403,N'Dali,Borgou
0404,Nikki,Borgou
0405,Parakou,Borgou
0406,Pèrèrè,Borgou
0407,Sinendé,Borgou
0408,Tchaourou,Borgou
0501,Bantè,Collines
0502,Dassa-Zoumè,Collines
0503,Glazoué,Collines
0504,Ouèssè,Collines
0505,Savalou,Collines
0506,Savè,Collines
0601,Aplahoué,Couffo
0602,Djakotomey,Couffo
0603,Dogbo,Couffo
0604,Klouékanmè,Couffo
0605,Lalo,Couffo
0606,Toviklin,Couffo
0701,Bassila,Donga
0702,Copargo,Donga
0703,Djougou,Donga
0704,Ouaké,Donga
0801,Cotonou,Littoral
0901,Athiémé,Mono
0902,Bopa,Mono
0903,Comè,Mono
0904,Grand-Popo,Mono
0905,Houéyogbé,Mono
0906,Lokossa,Mono
1001,Adjarra,Ouémé
1002,Adjohoun,Ouémé
1003,Aguégués,Ouémé
1004,Akpro-Missérété,Ouémé
1005,Avrankou,Ouémé
1006,Bonou,Ouémé
1007,Dangbo,Ouémé
1008,Porto-Novo,Ouémé
1009,Sèmè-Kpodji,Ouémé
1101,Adja-Ouèrè,Plateau
1102,Ifangni,Plateau
1103,Kétou,Plateau
1104,Pobè,Plateau
1105,Sakété,Plateau
1201,Abomey,Zou
1202,Agbangnizoun,Zou
1203,Bohicon,Zou
1204,Covè,Zou
1205,Djidja,Zou
1206,Ouinhi,Zou
1207,Zagnanado,Zou
1208,Za-Kpota,Zou
1209,Zogbodomey,Zou
